[Arguments] => mode: train, epoches: 20, batch: 8, load: first, save: second


Train[01/20]: 104/512, [==========>                                       ],  20.31%, loss=0.2078, total=21.2968
Train[01/20]: 105/512, [==========>                                       ],  20.51%, loss=0.2260, total=21.5227
Train[01/20]: 106/512, [==========>                                       ],  20.70%, loss=0.1924, total=21.7152
Train[01/20]: 107/512, [==========>                                       ],  20.90%, loss=0.2144, total=21.9296
Train[01/20]: 108/512, [==========>                                       ],  21.09%, loss=0.2272, total=22.1568
Train[01/20]: 109/512, [==========>                                       ],  21.29%, loss=0.2362, total=22.3929
Train[01/20]: 110/512, [==========>                                       ],  21.48%, loss=0.2553, total=22.6482
Train[01/20]: 111/512, [==========>                                       ],  21.68%, loss=0.1886, total=22.8368
Train[01/20]: 112/512, [==========>                                       ],  21.88%, loss=0.1687, total=23.0056
Train[01/20]: 113/512, [===========>                                      ],  22.07%, loss=0.1777, total=23.1833
Train[01/20]: 114/512, [===========>                                      ],  22.27%, loss=0.2116, total=23.3949
Train[01/20]: 115/512, [===========>                                      ],  22.46%, loss=0.2268, total=23.6218
Train[01/20]: 116/512, [===========>                                      ],  22.66%, loss=0.2186, total=23.8404
Train[01/20]: 117/512, [===========>                                      ],  22.85%, loss=0.1934, total=24.0338
Train[01/20]: 118/512, [===========>                                      ],  23.05%, loss=0.2301, total=24.2639
Train[01/20]: 119/512, [===========>                                      ],  23.24%, loss=0.2275, total=24.4914
Train[01/20]: 120/512, [===========>                                      ],  23.44%, loss=0.2059, total=24.6973
Train[01/20]: 121/512, [===========>                                      ],  23.63%, loss=0.2360, total=24.9333
Train[01/20]: 122/512, [===========>                                      ],  23.83%, loss=0.1591, total=25.0924
Train[01/20]: 123/512, [============>                                     ],  24.02%, loss=0.2135, total=25.3060
Train[01/20]: 124/512, [============>                                     ],  24.22%, loss=0.1987, total=25.5047
Train[01/20]: 125/512, [============>                                     ],  24.41%, loss=0.2121, total=25.7167
Train[01/20]: 126/512, [============>                                     ],  24.61%, loss=0.1878, total=25.9045
Train[01/20]: 127/512, [============>                                     ],  24.80%, loss=0.2104, total=26.1150
Train[01/20]: 128/512, [============>                                     ],  25.00%, loss=0.1898, total=26.3048
Train[01/20]: 129/512, [============>                                     ],  25.20%, loss=0.2039, total=26.5086
Train[01/20]: 130/512, [============>                                     ],  25.39%, loss=0.2153, total=26.7239
Train[01/20]: 131/512, [============>                                     ],  25.59%, loss=0.1830, total=26.9069
Train[01/20]: 132/512, [============>                                     ],  25.78%, loss=0.2004, total=27.1074
Train[01/20]: 133/512, [============>                                     ],  25.98%, loss=0.2317, total=27.3391
Train[01/20]: 134/512, [=============>                                    ],  26.17%, loss=0.1905, total=27.5296
Train[01/20]: 135/512, [=============>                                    ],  26.37%, loss=0.2319, total=27.7614
Train[01/20]: 136/512, [=============>                                    ],  26.56%, loss=0.1858, total=27.9473
Train[01/20]: 137/512, [=============>                                    ],  26.76%, loss=0.2311, total=28.1784
Train[01/20]: 138/512, [=============>                                    ],  26.95%, loss=0.2425, total=28.4209
Train[01/20]: 139/512, [=============>                                    ],  27.15%, loss=0.2157, total=28.6366
Train[01/20]: 140/512, [=============>                                    ],  27.34%, loss=0.1854, total=28.8219
